Occurrence,Lattitude,Longitude,Location,IncidentSu,Vessel,Web,Notes
16/02/2013,53.310849,-4.628345,"Location: Holyhead Port, Wales.",Contact made by passenger/ro-ro cargo ferry Finnarrow with berth and its subsequent flooding,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-passenger-ro-ro-cargo-ferry-finnarrow-with-berth-at-holyhead-port-wales-and-the-subsequent-flooding-of-the-vessel, 
21/02/2013,57.926357,-7.23896,"Location: 6nm north-west of the Island of Taransay, Western Isles, Scotland.",Flooding and sinking of potter Achieve with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/flooding-and-sinking-of-potter-achieve-north-west-of-taransay-scotland-with-loss-of-1-life, 
26/02/2013,52.800046,1.933937,"Location: Haisborough Sand off Norfolk, England.",Grounding of general cargo vessel Douwent,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-general-cargo-vessel-douwent-on-haisborough-sand-off-norfolk-england, 
16/03/2013,55.64,-1.611667,"Location: Off Longstone, Farne Islands, England.",Grounding of general cargo vessel Danio,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-general-cargo-vessel-danio-off-longstone-farne-islands-england, 
01/04/2013,54.35487,-2.929657,"Location: Windermere, England.",Carbon monoxide poisoning on motor cruiser Arniston with loss of 2 lives,Recreational craft - power,https://www.gov.uk/maib-reports/carbon-monoxide-poisoning-on-motor-cruiser-arniston-on-windermere-england-with-loss-of-2-lives, 
25/04/2013,56.295838,-5.674095,"Location: Firth of Lorn, Scotland.",Flooding and sinking of under 12m fishing vessel Speedwell with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/flooding-and-sinking-of-under-12m-fishing-vessel-speedwell-in-the-firth-of-lorn-scotland-with-loss-of-1-life, 
05/05/2013,50.551667,-4.933977,"Location: Camel Estuary, Cornwall, England.","Ejection of 6 people from rigid inflatable boat Milly resulting in 3 people injured, 2 seriously and loss of 2 lives",Recreational craft - power,https://www.gov.uk/maib-reports/ejection-of-6-people-from-rigid-inflatable-boat-milly-in-the-camel-estuary-cornwall-england-resulting-in-3-of-the-people-injured-2-seriously-and-the-loss-of-2-lives, 
14/06/2013,56.544995,-5.916138,"Location: 2.5 miles south of Tobermory, Isle of Mull, Scotland.",Grounding of general cargo vessel Fri Ocean, , , 
15/06/2013,53.401379,-2.990961,"Location: Sinking at Salthouse Dock, Liverpool, England.",Sinking/abandonment of DUKW amphibious passenger vehicle Wacker Quacker 1 and fire/abandonment of DUKW Cleopatra,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/sinking-and-abandonment-of-dukw-amphibious-passenger-vehicle-wacker-quacker-1-in-salthouse-dock-liverpool-england-and-fire-and-abandonment-of-dukw-amphibious-passenger-vehicle-cleopatra-on-the-river-thames-england, 
22/06/2013,51.947786,1.259914,"Locations: Harwich International Port, England.",Contact made by ro-ro passenger ferry Sirena Seaways with berth,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-ro-ro-passenger-ferry-sirena-seaways-with-berth-at-harwich-international-port-england, 
