Equipment_ID,Equipment1,Current_Location,Current_Lat,Current__long,Allocated,Allocated_Lat,Allocate_Long,ON_Number,Lifeboat_No,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service
OB02003262,Hovercraft IRH Vera Ravine,Southend-on-Sea ILB H,51.532425,0.716346,Southend-on-Sea ILB H,51.53242493,0.716346025, ,H-004, ,Hovercraft,Griffon,Griffon,MK1470SAR,31/08/2003
OB02005001,B-Class A85 Olive Laura Deare II,Gravesend ILB B,51.445265,0.374681,Gravesend ILB B,51.44526479,0.374681366, ,B-827,235070739,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/10/2008
OB02003048,E-Class ILB Joan and Kenneth Bellamy,Tower Lifeboat Station,51.50992,-0.117225,Chiswick ILB E (Operational),51.48219621,-0.25158427, ,E-006,235070738,E-Class,Tiger Marine T9000 (RNLI) base boat,TigerMarineT9000base,MK1E-Class,31/01/2002
OB02007716,E-Class ILB Hurley Burly,Tower ILB E (Operational),51.50992,-0.117225,Tower ILB E (Operational),51.50992,-0.117225498, ,E-07,235080605,E-Class,Marine specialised technology 1050 base boat,MST1050base,MK2E-Class,01/07/2011
OB02009617,E-Class ILB Brawn Challenge,Chiswick ILB E (Operational),51.482196,-0.251584,Tower ILB E (Operational),51.50992,-0.117225498, ,E-09,235080607,E-Class,Marine specialised technology 1050 base boat,MST1050base,MK2E-Class,01/04/2012
OB02007777,E-Class ILB Dougie and Donna B,Chiswick ILB E (Operational),51.482196,-0.251584,Chiswick ILB E (Operational),51.48219621,-0.25158427, ,E-08,235080606,E-Class,Marine specialised technology 1050 base boat,MST1050base,MK2E-Class, 
OB02006706,D-Class ILB Olwen and Tom,Teddington ILB D (Down Lock),51.430629,-0.326063,Teddington ILB D (Down Lock),51.43062872,-0.32606335, ,D-743,235083511,D-Class,IB1 variant,IB1,MK2IB1,24/11/2010
OB02016857,D-Class ILB Peter Saw,Teddington ILB D (Up Lock),51.430629,-0.326063,Teddington ILB D (Up Lock),51.43062872,-0.32606335, ,D-785,235108838,D-Class,IB1 variant,IB1,MK2IB1, 
OB02002110,ON1211 Trent ALB George and Ivy Swanson,Sheerness ALB,51.446178,0.744002,Sheerness ALB,51.44617844,0.744001985,ON1211,14-13,232002180,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1995
OB02023343,D-Class ILB Buster,Sheerness ILB D,51.446178,0.744002,Sheerness ILB D,51.44617844,0.744001985, ,D-799, ,D-Class,IB1 variant,IB1,MK2IB1,11/08/2016
OB02012712,B-Class A85 Lewisco,Whitstable ILB B,51.362591,1.025767,Whitstable ILB B,51.36259052,1.025766881, ,B-877,235105953,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/07/2014
OB02002146,ON1178 Mersey ALB Margaret Jean,Margate ALB,51.391616,1.382693, , , ,ON1178,Dec-21,232002290,Mersey,Afloat Boat,AfloatBoat,MK1FRCMersey,01/06/1991
OB02005117,D-Class ILB Tigger Three,Margate ILB D,51.391616,1.382693,Margate ILB D,51.39161649,1.382693269, ,D-706,235108848,D-Class,IB1 variant,IB1,MK2IB1,01/11/2008
OB02002065,ON1197 Trent ALB Esme Anderson,Ramsgate ALB,51.328903,1.419671,Ramsgate ALB,51.3289033,1.419671397,ON1197,14-Feb,232001840,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1994
OB02012713,B-Class A85 Claire and David Delves,Ramsgate ILB B,51.328903,1.419671,Ramsgate ILB B,51.3289033,1.419671397, ,B-878,235106995,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/09/2014
OB02023326,B-Class A85 The Drayton Manor,Walmer ILB B,51.213532,1.40299, , , , ,B-801,235095913,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/06/2006
OB02023338,D-Class ILB Duggie Rodbard II,Walmer ILB D,51.213532,1.40299,Walmer ILB D,51.21353156,1.402989773, ,D-794, ,D-Class,IB1 variant,IB1,MK2IB1,19/04/2016
OB02002155,ON1220 Severn ALB City of London II,Dover ALB,51.1183,1.3106,Dover ALB,51.1183,1.3106,ON1220,17-Sep,232002480,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1997
OB02003123,B-Class A75 Fred Clarke,Littlestone-on-Sea ILB B,50.974594,0.965636,Littlestone-on-Sea ILB B,50.97459351,0.965635541, ,B-785,235109553,B-Class,Atlantic 75,Atlantic75,MK1Atlantic75,28/11/2006
OB02026378,ON1309 Shannon ALB The Morrell,Dungeness ALB,50.926506,0.976547,Dungeness ALB,50.92650637,0.976546851,ON1309,13-Feb,235101095,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/01/2016
OB02012715,B-Class A85 Martin Frederick Whitehouse,Rye Harbour ILB B,50.938482,0.764106, , , , ,B-880,235108068,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,17/11/2014
OB02002080,ON1125 Mersey ALB Sealink Endeavour,Hastings ALB,50.854919,0.591786,Hastings ALB,50.85491935,0.591785851,ON1125,12-002,232003305,Mersey,Carriage Boat,CarriageBoat,MK1ALALMersey,01/01/1987
OB02004941,D-Class ILB Daphne May,Hastings ILB D,50.854919,0.591786,Hastings ILB D,50.85491935,0.591785851, ,D-699,235102867,D-Class,IB1 variant,IB1,MK2IB1,01/02/2008
OB02005607,ON1303 Tamar ALB Diamond Jubilee,Eastbourne ALB,50.791179,0.327696,Eastbourne ALB,50.79117902,0.32769611,ON1303,16-23,235069215,Tamar,Afloat Boat,AfloatBoat,MK1Tamar,11/04/2012
OB02006707,D-Class ILB Laurence and Percy Hobbs,Eastbourne ILB D,50.791179,0.327696,Eastbourne ILB D,50.79117902,0.32769611, ,D-744,235096966,D-Class,IB1 variant,IB1,MK2IB1,12/05/2013
OB02002128,ON1243 Severn ALB David and Elizabeth Acland,Newhaven ALB,50.788517,0.05372,Newhaven ALB,50.78851704,0.053719841,ON1243,17-21,232003141,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1998
OB02007401,B-Class A85 Random Harvest,Brighton ILB B,50.8109,-0.1043,Brighton ILB B,50.8109,-0.1043, ,B-852,235088764,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,07/09/2011
